text,labels
"They don't want you to know the truth about what's happening. We have a right to freedom of speech and its up to each and everyone of us to defend it - even if you disagree. It takes 1 second to RT this.
#CoronaVirusUpdate #CoronaUK #londonreal https://t.co/uNx78pofp7",1
"Coincidence that 5G (never tested) rollouts in (China) where the virus is centralized? Virus blamed for technology? 

If actual deaths in US get to 50K, then maybe an epidemic. 1 Mil worldwide, then pandemic. The moronic use of these 2 terms is stunningly stupid.",0
"All this to declare martial law huh? Lol or do you wanna put fear in us so we can run and get them vaccines to make us suseptible for these damn 5g tower radiations? Lol either way, the government is to NOT be trusted and are up to something. #CoronaVirus 🦠",1
"Flashback: There is no one in the White House tasked specifically to oversee a coordinated government-wide response in the event of a pandemic, since the post of senior director for global health security and biothreats on the NSC was eliminated last May. https://t.co/kOQK8XVI9j",0
"#HongKong’s NIGHTMARE
— the enormous World Dream cruise ship now in 🇭🇰 #harbor. 

3 confirmed #coronavirus cases.
30 crews with #flu symptoms.
1,800 #quarantined.

This cruise was sent back from #Taiwan, which refused entry ytd. 
#blessHongKong #2019nCoV 
https://t.co/lSmguQFLRy",0
"(Thread) 

Is it possible that the western oligarchs &amp; financial sector unleashed the Corona virus onto China to push for a universal digitized monetary system? 

#COVID19SouthAfrica",1
"But WHO says 5G has no negative effect on human health, and even Deloitte says it has the potential of combating Covid-19. 

This act of seeking the truth can be tiring you know. https://t.co/TtSKkYTSUc",1
Also: can you believe that Congress is still congregating? The U.S. will be the next country to have double-digit percentages of their representatives locked away in the ICUs and quarantines. https://t.co/ddKxJGHLsP,0
"Roger Stone: Bill Gates may have created coronavirus to microchip people in mandatory globalist vaccination program... We're just a 5G away from Conspiracy Theory Bingo!

This is where Trump is getting his 'intelligence reports' from!
 https://t.co/2Q2mDmHcZ2 #Trumpocalypse",1
"The decision to take our chances staying behind just keeps getting better and better.  But what's better than best?

Coronavirus: Santa Clarita man falls ill while returning to CA with wife after being quarantined on cruise ship in Japan https://t.co/IAjXRufSDK via @abc7",0
Find someone who commits to you unconditionally the way a willful ignoramus latches onto a conspiracy theory about the coronavirus and 5G technology.,0
"#5G is probably not whats causing #Covid_19, but that does still not make it any less of a fact that 5G IS TERRIBLE for your health. Animals die, trees die, it fucks with oxygen cells &amp; increases the risk of #cancer a lot. 5G is the first step for their ""smart-grid"" of control. https://t.co/zk5y29Pkp1",1
"REPORT: How Surveillance and 5G Are Being Fast-Tracked Under the Pretext of Fighting Coronavirus
https://t.co/xXk2EgiHp5
#COVID19 #stop5G #ygk",1
"I'm not buying the idea that the Chinese communist government might come out of this crisis with net positive foreign policy gains.

Which hard-hit country is going to forget the fake numbers &amp; defective tests?

The fact that at their own peak, China didn't close THEIR borders...",1
"The U.S. values its special relationship with the U.K., but allowing Huawei into Britain’s 5G infrastructure will have consequences across several sectors. Ultimately, protecting U.S. trade secrets from the Chinese Communist Party is our top priority. https://t.co/kcJCkjRmAD",0
@ToothAngry @BeckyJohnson222 @KitemanArgues @MsTrixter @RebelKnight50 @VeritasEver @Rosewind2007 @KarenMccartny @RogueTrader84 @emartinez78987 @bruce_barrett @LaughlandMorgan @Dietdee @JestrBob @MLAnder87321751 @Sheldon_Walker_ @TioChango_ @HelloGeorgeN @KrochetxKorner @AncientSpoonbil @Monstercoyliar @nicriopeele @runhack @AngrierThanMost @KStateTurk @ailsa_graham @Sheeple201 @LauraDekker1 @MackayIM @Siubhan_H @JaneEOpie @rnew706 @PedsID4Life @Iconoclastttt @deralteGaukler @mcfunny @SMcwoof @dfreedman7 @rnew607 @GregBla81247728 @philosopherstew @Awithonelison @LiamKav @jim_herd @GenerationVax @TiffersYUPP @CoralDoggo @JulieAMcLean @TamaseseEdwin You mean coconut-farm-manager-turned-unemployed-coconut-farm-manager-with-a-criminal-record @TamaseseEdwin?,0
"@MattHancock
@PHE_uk
@10DowningStreet
@BorisJohnson
@DHSCgovuk
#coronavirus is serious but are you protecting our health from #5G &amp; #EMF? On 27 Jan. an MP asked Matt Warman about the health effects of 5G and was directed to PHE. But the relevant PHE committee COMARE said this: https://t.co/xH8fGfUfxs",1
"RT TechLinndustry: So, one thing I'm digging into right now is how COVID-19 will impact product launches, and we have quite a few prominent ones this year - 5G phones, next gen consoles, foldables, and dual screens. If supply chain remains impacted into June, I suspect holid…",0
"There is as much evidence that 5G masts are behind coronavirus as there is for 5G masts being behind this run of wonderful weather we've been having for April.
I for one hail our 5G weather overlords.",1
Unusually high #DeadBirds spotted in several places in the UK. It is more likely the brains of those destroying 5G towers have stopped working than that such acts will force a link between 5G or #coronavirus and the #DeadBirds. There is another word for these acts. https://t.co/ax3xEdrESV,1
"YES!!! 5G has long-term side-effects to humans just like Cell Towers but NO!!! 5G didn't cause COVID19.

Further investigations need to be made.",1
"Wait, is Pastor Sam Adeyemi saying this is not about an anti-Christ 5G NWO IOT Embrace Fear thing? Kai! This explanation is too simple. No intricate mysteries that will keep somebody up at night. https://t.co/kaDq1v3Aha",1
Heads dont even know how #5G tech works. Clueless on how geopolitics yet will lecture you on 5Gtech because they saw some vid on YouTube or IG. Always some doctor/specialist in some kitchen or back room telling you their expertise of said credentials. Foh. https://t.co/CgEETLiwo8,1
5G is killing people not pandemic.,1
"Hear me out, WHAT IF, this corona virus was made to force the majority to start depending on online technology as a preparation to introduce the 5G technology 🧐🧐",1
"China will promote the use of high technologies including big data, AI and 5G technology in theongoing battle against the #COVID19 outbreak,an official said on Friday. https://t.co/mUynGZzpzd",0
BIG: Hillary Clinton Ordered By Federal Court To Testify to @JudicialWatch On Email Scandal PLUS Schumer Threatens Supreme Court--Should He Be Prosecuted? EXCLUSIVE Update: https://t.co/2il06pUYt9 https://t.co/IYPHHwordS,0
"@SuperiorZulu @carmelo08340744 @CheetahPlains @Tumiishi Q: When is Bill Gateway leaving this planet earth, and, go somewhere forever?
A: When 5G thing takes his soul away from him and incarnate it to coronavirus. One tiny little viroiscthat is scared of hot temperatures and salty conditions",1
"Coronavirus Will Test WiFi Networks, Make 5G More Popular As more cities strive to become smart cities — having infrastructure connected to the internet — latency will become more of an issue, and that will ... https://t.co/J7Nb2RS4XB",0
"We don’t need more empathy in the world. We need more compassion.

Empathy is feeling the pain and suffering of others.

Compassion is acting to relieve the pain and suffering of others.

#SundayMotivation",0
5G? Is it time for a properly constructed review of this technology? Never mind the greedy money making phone moguls and their sycophants. 5G which we are handing over to a Communist Regime? Profit or Security &amp; Safety? Where are all our Woke MSM Hacks?,1
"The Black Nobility is still trying to hide behind the Rothschilds (mere Knights of the Garter), and Trump still is masquerading as President of the US and Commander in Chief of the US .  The Constitutions of all of the nations of the world are suspended. https://t.co/t4oHjcBoS1 https://t.co/rjorr9x09k",1
"#Stop5G
Over 300 dead starlings in The Hague Huygenspark during 5G experiment at VOF Telecentre to test 5G effect on railwaystation equipment 400m away https://t.co/BdmQoWhqtx https://t.co/5h50PVIgSH",1
"It is distressing in to see people, who no doubt believe they would have resisted the imposition of a despotism on this country, not merely accepting but welcoming mass arrest, collective punishment and the destruction of their jobs and savings by these political buffoons.",1
"Is it just me or has anyone else noticed the media has pushed Coronavirus hysteria, fear, and paranoia up by a 1000% in the last 12 hours?",1
"1. #COVID19: While I slept, South Korea added 87 cases to their count. They are updating twice daily, which is impressive. On Saturday, they added a total of 239 cases (gulp!) to their total. 
To give you some context, here's a graph. Most of their case growth has been this week. https://t.co/AhWWmWjGHM",0
"This is genuinely a public health emergency. Not fringe, but from the world's leading experts in mobile radiation. Industry knows this. 5G has to stop NOW. #stop5G #5G #vodaphone #huawei #EE https://t.co/UNbj1hNfU4",1
"The new virus pneumonia is named as ""Novel #coronavirus pneumonia"" (NCP): China's National Heath Commission https://t.co/UkPe8AZZoQ",0
"@BusyDrT Amid the rush for new vaccines, momentum building questioning connections of 5G, compromised immune systems, and #Covid_19 . 5G on Princess cruise ships and 5G trials in Iran.

Reports by Jon Rappoport https://t.co/1n64pXsCQi also
https://t.co/4RDbZa4oSq
https://t.co/ivCMwWiCwk",1
"Reflections and Recommendations on COVID-19, 5G, &amp; Wireless Radiation – What is 5G and the IoT? https://t.co/UOdjhef0H5",1
My concern is that with the coronavirus epidemic causing increased demand for networks to increase bandwidth in place of travelling it will be very difficult to avoid 5G https://t.co/oPk5b7pSea,1
"Some countries also believe the 5G network to be hazardous and they're removing the infrastructure.

There's also a lot of debate and research going on in the USA leadership about the adverse effects of the 5G network and if it's implementation should be stopped or continued. https://t.co/Ri6dGmaJ31",1
.@TomFitton: “AG Barr has fallen into a trap laid for him by these Mueller prosecutors and now they’ve created anther scandal for the next phase of the coup against AG Barr and President @realDonaldTrump. They are concerned that AG Barr might do the right thing.” https://t.co/Xq93eyAVRw,1
Trudeau just refuses to do the right thing because when Trump banned flights he ridiculed him and implied racist intent. We are more at risk because of Trudeau’s arrogance. #COVID19 https://t.co/cOmpwFLo1m,0
"Take one minute and watch this.👇 this is the new chemical
 translucent FIBERS
that's being SPRAYED! They are covering everything. Every one of them is horizontal because they fell from the sky! How easy it would be for these to contain the virus? @BrianKempGA @RepDougCollins https://t.co/sgdG5ILf05",1
"The new #coronavirus outbreak has spurred many countries, experts, companies and communities to take action. The world is pulling together to end the outbreak, building on lessons learned from past outbreaks.",0
"One world government, one world government, but the UK still left the EU successfully and the AntiChrist was looking like bolo",1
"Could 5G be responsible for headaches, nausea &amp; different forms of mental illness? Probably. Is it responsible for the coronavirus outbreak? Highly unlikely.",1
"Just a thought but if people become sick during a 5G launch they can blame it on coronavirus they’re both invisible one weakens the immune system, one attacks it.",1
"The southwestern Chinese province of Yunnan on Wednesday launched a WeChat in-app program called Kang Yiqing (Fighting the Epidemic) that requires residents to register their personal info by scanning a QR code whenever they enter a public venue. #COVID19 
https://t.co/1vE5ys8DsY",0
"With trust comes peace of mind. Be like ‘Mr. Igboro’; free your mind with Airtel SmartTALK. Dial *315# and enjoy calls at a flat rate of 11k/s after a N7 access fee on the first call of the day.

#FreeYourMind
#AirtelSmartTalk https://t.co/f58wftrP63",0
"Coronavirus:

SYMPTOMS

Fever
Cough
Shortness of breath
Breathing difficulties

SEVERE CASES 

Pneumonia
Severe acute respiratory syndrome
Kidney failure
DEATH!! https://t.co/9yhaXjJTWk",0
Now the #rubyprincess has over 2700 passengers and 1100 crew that will need to self-isolate after (4) people tested positive for #Corvid19 the @PrincessCruises utilize higher frequency bands with the Medallion Net #5G that depletes the immune system &amp; causes oxidative stress https://t.co/B2zbXIliF3,1
Singapore strips man of his status as a permanent resident after breaking his requirement to stay at home after traveling from China; he has also been barred from re-entering the country - ICA,0
"While everyone is locked inside consumed by coronavirus news, 5G towers are going up all over the place.",1
The problem is that USA don't wanna take it that they've lost it they then come up with 5G COVID conspiracy. They busy building Barracks in different countries thinking it is only that can retain their position as World power. Then China Maradonised with industrialization,1
"@DrEricDing @TheLancet Mortality rates in other big cities like Beijing and Shanghai are much lower, why is that?",0
"It’s clear we need to do more research on the subject of 5G, 300meters cell (telecom) towers and ways to reduce RF radiation exposure.
But to assume 5G is the “New world order” and coronavirus was created to generate fear so we can all be vaccinated and implanted with",1
"When Trump send the emp signal from the satellites over earth to destroy the 5g towers that’s activating the corona virus, subsequently destroying all electrical powered devices, then who will you call? https://t.co/N61b0B3CI8",1
