text,labels
"This is your daily reminder that you have millions of friends and allies in the EU.

Also, I just read @mrjamesob's book. It's quite admirable. I'd never keep that cool a head when questioning apparent numbskulls to make them see sense. That's why it's him not me in that chair. https://t.co/oLaqtToFIE",0
"On a side note, the woman just before Hannity says the virus is moving from one 'hotspot' to another. It may be code for the 4G and 5G internet being a catalyst to the coronavirus. A media under the military? https://t.co/vwsHFsbCJ5",1
"Mercury Rx newmoon Pisces Neptune sociology experiment. Let people decide on scale 1-10 what info (disinfo=1.10) is reliable to them, or interesting, or important, or enter-taining, or whatever other criteria you or they choose. 

Graphics from this study? 
Dali-esque awareness.",0
"NEW DETAILS on Santa Clara County's second case of #coronavirus: 

- Woman recently traveled to Wuhan, China
- She has stayed home since she arrived, except for twice to seek medical care
- This is NOT related to the first case in the county https://t.co/S9jTjT267b",0
"Where was the first rollout of 5G in the World.. 
Guess it is no coincidence 
Wuhan 
So like always a virus follows a huge electrical or electronic system rollout 
Please tell others",1
@LordBrexit Apparently 5G had just been activated in Wuhan &amp; one of the places in Northern Italy. Many will claim tinfoil hat blah blah but people seriously underestimate or don't consider the tech that's involved and under development. Germ &amp; chemical warfare assisted by tech is on the up.,1
"If you're young and following along, this scene where they talk about how Sarah Marshall starred in a movie where your cell phone can kill you? There was actually a movie about that...it was that terrible",1
"Bloke in the office: “obviously it’s a conspiracy. They are hiding something big, something political”

Carry yourself with the confidence of a man who thinks all the governments of the world conspired a pandemic together to knock something off the headlines.",0
"24 hours of China region airplane movements on a normal Friday in November 2019 (UTC time) vs last Friday the 14th Feb, 2020. #COVID19 
@bnoDesk @flightradar24 @aspoerl1 https://t.co/8bE0Q3Aejx",0
Does Huawei’s 5G technology pose a threat to countries’ national security? @kncukier investigates on our latest “Babbage” podcast https://t.co/meC1BPomPI https://t.co/ushNoAf2Bu,0
@ajmubasher Effects of 5G wireless communication and its possible connection to the Covid-19 Virus and its possible therapy https://t.co/q6ZqNhxEP0,1
"Having reviewed Ms Wilson-Raybould’s further testimony, I have tabled with the Justice Committee notes and texts between us related to the events Ms Wilson-Raybould describes.",0
Former Spy Tells President Trump Truth - Fake Pandemic - 5G Triggers - Purge Needed (Video) https://t.co/EEBNBQngmJ,1
"The psychological toll of quarantines is not discussed enough: ""Marriage registration offices in some districts of Xi'an, capital of Northwest China's Shaanxi Province have seen an unprecedented number of divorce appointments since reopen on March 1"" https://t.co/RP0tQsO0lJ",0
"14% of Americans Say They Use CBD Products 
This is amazing...million dollar question: how effective is it???
#CBD #cannabinoids #cannabis
https://t.co/dhZ0z2NQZJ",0
"Leading children's hospital in Britain, Great Ormond Street, cancels surgery on kids with serious heart problems after a health professional working there is diagnosed with #coronavirus https://t.co/6IS5QK6Z0B",0
"Dr. Liang: 25 experts. Spoke with officials, scientists, residents, medical workers. Our main goals: to understand 1) characteristics of epidemic 2) clinical symptoms incl. mild/middle/critical 3) prevention/control measures and effectiveness 4) suggestions for future research",0
"@banurfeels @TheDisproof @GlennCarr6 @fcmfcs2019 @rln_nelson @robhon_ @johnpdees @aSinister @AanthanurDC @patterson087 @stevenmosher @No1Trump @jimdtweet @KenJansen1 @MartinBrampton @automaticsteam @EnzoEdmonton @Dcoronata @CheezeWhiz_girl @yepsuzn @TWTThisIsNow @NoExcusesJim @FriendsOScience @StormSignalSA @RedDragonFly19 @KatyDuke @Over400ppm @ScottDa9999999 @JohnAshtone @jenninemorgan @DawnTJ90 @cowcreekgeek @jgorman2424 @Voight_Kampff_3 @FNPGeorgeH @Sdarts133 @priscian @caerbannog666 @GaryWHall @JoeNels48803147 @SteveLeigh2019 @spock246 @Gerard_Veltman @BubbasRanch @ladyspat1 @tomgoldman8 @ItsTheAtmospher @Dthechosen2 @TheClimateHawk @TurtleFL Here is a skeptical exercise for you, does this paper claim that ""The Atmosphere Cools As More CO2 Is Added"" ?https://t.co/n4tWCJaTlZ",0
"Comms people: We hope some of these risk comm articles from past outbreaks may be useful to you now, and in the near future. 

Good luck. Communicating a novel virus/disease/situation is very hard!

https://t.co/HiUnOe2URA https://t.co/G4iHHOZChu",0
Birds fall from sky Fish fall dead on shore hundreds of animals collapse people collapse with no symptoms? 5G #Wuhan @POTUS Wth is going on! https://t.co/QocMAxqvaU,1
The Coronavirus 5G Connection and Coverup – &amp;nbsp;This is more likely the truth behind this 2020 situation. [Waking Times]: The China Coronavirus 5G Connection is a very important factor when try... https://t.co/uaknvRdn98 https://t.co/yKkx8aqRjM,1
JUST IN: Coles have released a statement following the unprecedented demand for toilet paper. They have changed the limit to one pack per customer. #9News https://t.co/K12gwiFNJs,0
"#healedcovid19patientreinfected #coronaviruspatientreinfected  #Sichuanprovince #5g or #5gcombocoronavirus 

what roll does 5g play with coronavirus / covid19 
patients or nonpatients or 
reinfected patients",1
Every single person here needs to look up the side effects of 5g because I promise you now internet that loads 2 seconds faster is not worth the levels of radiation we are taking in from the towers that are being put up while we’re all in quarantine,1
5G &amp; all wireless tech promotes growth and spread of #Coronavirus: opinion of independent highly respected scientific expert in the bio effects of unregulated electrosmog the ad-dependent mainstream media refuses to acknowledge to spare ad revenue. https://t.co/o1JIrbSLQC,1
